Translate 1, Translate 2, Translate 3, MLTLM
632, 677, 620, 57
35, 35, 26, 50
23, 23, 14, 41
3578, 3746, 3497, 59
209, 230, 197, 34
2354, 2492, 2264, 76
1781, 1901, 1601, 236
1010, 1130, 1001, 117
1616, 1685, 1454, 71
2282, 2375, 2174, 63
11435, 11645, 11129, 147
8957, 9170, 8549, 176
4211, 4358, 4196, 168
34205, 34658, 32930, 327
5192, 5429, 5078, 181
6014, 6077, 5777, 59
32, 32, 23, 53
632, 677, 569, 54
713, 785, 632, 39
29, 29, 23, 38
50, 50, 38, 71
3143, 3284, 3008, 80
32, 32, 26, 35
194, 194, 152, 177
15872, 16178, 15149, 212
227, 275, 221, 165
18038, 18371, 17711, 205
7637, 7769, 7055, 351
563, 635, 548, 102
9071, 9260, 8429, 126
1133, 1253, 1001, 52
35, 35, 26, 44
491, 536, 452, 47
614, 659, 605, 33
209, 230, 197, 31
4097, 4190, 3797, 108
386, 386, 257, 76
1841, 1982, 1679, 90
2165, 2285, 1769, 108
638, 683, 575, 60
638, 683, 575, 310
1667, 1742, 1631, 379
2411, 2576, 2345, 93
29990, 30368, 28781, 241
17129, 17315, 15926, 231
1223, 1316, 1187, 111
2276, 2369, 2267, 48
2078, 2144, 2042, 28
47, 47, 35, 62
3410, 3578, 3329, 49
7595, 7754, 6992, 95
13763, 14192, 13235, 146
434, 482, 377, 73
1619, 1763, 1508, 102
1562, 1682, 1430, 66
7328, 7565, 7211, 151
986, 1031, 920, 86
22067, 22289, 21410, 375
1433, 1529, 1322, 126
6884, 7043, 6764, 205
